moy,Accessible suburbia,Concentrated urbanity,Connected residential neighbourhoods,Countryside agriculture,Dense residential neighbourhoods,Dense urban neighbourhoods,Disconnected suburbia,Gridded residential quarters,Hyper concentrated urbanity,Local urbanity,Metropolitan urbanity,Open sprawl,Regional urbanity,Urban buffer,Warehouse/Park land,Wild countryside
2009-02,372.0,5.0,114.0,239.0,284.0,220.0,189.0,111.0,,165.0,8.0,789.0,25.0,680.0,254.0,33.0
2009-03,588.0,6.0,245.0,374.0,439.0,328.0,276.0,157.0,,257.0,12.0,1292.0,67.0,1139.0,273.0,22.0
2009-04,469.0,8.0,171.0,311.0,387.0,235.0,215.0,166.0,,219.0,8.0,1127.0,42.0,921.0,285.0,20.0
2009-05,540.0,5.0,182.0,392.0,368.0,303.0,281.0,125.0,,231.0,12.0,1237.0,39.0,1049.0,289.0,32.0
2009-06,831.0,7.0,265.0,609.0,613.0,515.0,435.0,211.0,,337.0,25.0,1939.0,66.0,1721.0,410.0,107.0
2009-07,641.0,3.0,217.0,415.0,411.0,327.0,294.0,176.0,,281.0,7.0,1256.0,81.0,1133.0,323.0,37.0
2009-08,459.0,3.0,161.0,429.0,367.0,291.0,234.0,156.0,,262.0,18.0,1070.0,63.0,1104.0,279.0,23.0
2009-09,608.0,4.0,182.0,408.0,399.0,331.0,268.0,195.0,,188.0,14.0,1268.0,76.0,1275.0,272.0,43.0
2009-10,708.0,1.0,168.0,444.0,389.0,329.0,315.0,164.0,,235.0,13.0,1385.0,80.0,1240.0,305.0,28.0
2009-11,589.0,4.0,194.0,541.0,415.0,322.0,321.0,138.0,1.0,232.0,9.0,1419.0,75.0,1260.0,312.0,28.0
2009-12,822.0,3.0,300.0,805.0,582.0,623.0,472.0,197.0,,373.0,15.0,2090.0,108.0,1883.0,396.0,44.0
2010-01,311.0,3.0,83.0,290.0,267.0,179.0,139.0,116.0,,105.0,16.0,731.0,31.0,672.0,138.0,11.0
2010-02,398.0,7.0,151.0,376.0,251.0,244.0,190.0,59.0,,184.0,10.0,903.0,61.0,881.0,165.0,25.0
2010-03,621.0,4.0,171.0,546.0,374.0,327.0,297.0,111.0,,239.0,16.0,1210.0,74.0,1104.0,297.0,20.0
2010-04,486.0,6.0,133.0,391.0,306.0,241.0,256.0,103.0,,242.0,24.0,1101.0,80.0,948.0,230.0,35.0
2010-05,469.0,,151.0,459.0,430.0,307.0,243.0,78.0,,212.0,15.0,1199.0,74.0,1151.0,276.0,27.0
2010-06,763.0,3.0,243.0,650.0,617.0,364.0,400.0,195.0,,298.0,26.0,1872.0,74.0,1689.0,418.0,40.0
2010-07,392.0,4.0,141.0,341.0,346.0,264.0,208.0,111.0,1.0,193.0,20.0,1056.0,92.0,1056.0,236.0,19.0
2010-08,361.0,14.0,130.0,367.0,311.0,225.0,178.0,121.0,,184.0,15.0,1043.0,68.0,958.0,275.0,10.0
2010-09,556.0,6.0,119.0,424.0,409.0,321.0,221.0,148.0,,249.0,18.0,1217.0,67.0,1251.0,274.0,23.0
2010-10,466.0,6.0,149.0,397.0,391.0,247.0,284.0,100.0,,174.0,14.0,1077.0,66.0,1034.0,245.0,14.0
2010-11,454.0,11.0,146.0,421.0,336.0,273.0,215.0,87.0,,181.0,21.0,1171.0,65.0,1049.0,282.0,16.0
2010-12,617.0,9.0,176.0,533.0,490.0,363.0,313.0,125.0,,247.0,15.0,1609.0,84.0,1637.0,333.0,14.0
2011-01,251.0,4.0,69.0,267.0,216.0,111.0,152.0,58.0,,92.0,10.0,642.0,36.0,618.0,166.0,14.0
2011-02,302.0,3.0,82.0,227.0,203.0,166.0,137.0,72.0,3.0,119.0,8.0,731.0,67.0,751.0,186.0,21.0
2011-03,438.0,11.0,146.0,353.0,347.0,277.0,270.0,142.0,3.0,213.0,13.0,1178.0,73.0,1187.0,275.0,21.0
2011-04,406.0,5.0,98.0,355.0,278.0,220.0,242.0,118.0,,148.0,16.0,1069.0,60.0,1141.0,344.0,14.0
2011-05,400.0,6.0,128.0,376.0,265.0,216.0,187.0,114.0,,158.0,14.0,998.0,66.0,1038.0,280.0,17.0
2011-06,802.0,11.0,194.0,592.0,536.0,354.0,352.0,214.0,6.0,262.0,22.0,2036.0,81.0,1908.0,489.0,21.0
2011-07,395.0,11.0,102.0,375.0,272.0,172.0,231.0,142.0,5.0,158.0,8.0,1065.0,68.0,1105.0,299.0,15.0
2011-08,433.0,6.0,100.0,364.0,298.0,185.0,194.0,96.0,2.0,177.0,11.0,1093.0,60.0,1106.0,242.0,10.0
2011-09,555.0,7.0,163.0,435.0,347.0,245.0,269.0,140.0,5.0,190.0,23.0,1407.0,83.0,1316.0,303.0,18.0
2011-10,404.0,4.0,103.0,403.0,310.0,187.0,249.0,122.0,1.0,204.0,15.0,1157.0,68.0,1098.0,240.0,36.0
2011-11,492.0,,142.0,459.0,378.0,249.0,264.0,111.0,6.0,207.0,12.0,1386.0,79.0,1308.0,305.0,35.0
2011-12,645.0,8.0,191.0,572.0,482.0,371.0,386.0,197.0,6.0,341.0,27.0,2047.0,104.0,2168.0,470.0,31.0
